Customer_ID,First_Name,Last_Name,Age,City,Customer_Since,Income,Year,Month,Day,Loyalty_Tier_Gold,Loyalty_Tier_Platinum,Loyalty_Tier_Silver,Gender_Male,Gender_Other,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widowed,Preferred_Channel_Online,Preferred_Channel_Store,Loyalty_Tier_Gold,Loyalty_Tier_Platinum,Loyalty_Tier_Silver,State_Bihar,State_Chandigarh,State_Delhi,State_Gujarat,State_Karnataka,State_Kerala,State_Madhya Pradesh,State_Maharashtra,State_Odisha,State_Punjab,State_Rajasthan,State_Tamil Nadu,State_Telangana,State_Uttar Pradesh,State_West Bengal,Occupation_Doctor,Occupation_Engineer,Occupation_Government Employee,Occupation_Homemaker,Occupation_IT Professional,Occupation_Retail Employee,Occupation_Retired,Occupation_Sales Executive,Occupation_Self-Employed,Occupation_Student,Occupation_Teacher,Age_group_Adult,Age_group_Middle_Age,Age_group_Old_Age,Income_bin_Medium,Income_bin_High,Income_bin_Very High
CUST000001,Daksh,Bakshi,44.0,Mysuru,2019-01-26,49000.0,2019,1,26,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
CUST000002,Laksh,Konda,36.0,Mysuru,2020-12-01,34900.0,2020,12,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
CUST000003,Isaac,Dewan,46.0,Madurai,2019-10-29,66600.0,2019,10,29,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
CUST000004,Charan,Chahal,58.0,Hyderabad,2019-01-21,127800.0,2019,1,21,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
CUST000005,Siddharth,Balay,35.0,Mumbai,2020-05-25,117900.0,2020,5,25,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CUST000006,Amruta,Chander,35.0,Surat,2018-10-30,33600.0,2018,10,30,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUST000007,Janani,Kaul,59.0,Vadodara,2018-12-01,73800.0,2018,12,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
CUST000008,Yashawini,Bala,48.0,Vadodara,2020-12-31,97100.0,2020,12,31,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
CUST000009,Hardik,Saini,32.0,Mysuru,2020-11-05,66600.0,2020,11,5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CUST000010,Imaran,Sen,45.0,Chennai,2021-01-31,9300.0,2021,1,31,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CUST000011,Liam,Ahuja,32.0,Hyderabad,2021-01-13,20700.0,2021,1,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
