Customer_ID,First_Name,Last_Name,Age,Gender,City,State,Customer_Since,Occupation,Income,Marital_Status,Preferred_Channel,Loyalty_Tier
CUST000001,Daksh,Bakshi,44.0,Male,Mysuru,Karnataka,2019-01-26,Teacher,49000.0,Married,Online,Silver
CUST000002,Laksh,Konda,36.0,Male,Mysuru,Karnataka,2020-12-01,Retail Employee,34900.0,Single,Online,Silver
CUST000003,Isaac,Dewan,46.0,Male,Madurai,Tamil Nadu,2019-10-29,Sales Executive,66600.0,Single,Store,Silver
CUST000004,Charan,Chahal,58.0,Male,Hyderabad,Telangana,2019-01-21,IT Professional,127800.0,Married,Online,Gold
CUST000005,Siddharth,Balay,35.0,Male,Mumbai,Maharashtra,2020-05-25,Student,117900.0,Single,Mobile App,Gold
CUST000006,Amruta,Chander,35.0,Female,Surat,Gujarat,2018-10-30,Student,33600.0,Married,Online,Silver
CUST000007,Janani,Kaul,59.0,Female,Vadodara,Gujarat,2018-12-01,Teacher,73800.0,Married,Mobile App,Gold
CUST000008,Yashawini,Bala,48.0,Female,Vadodara,Gujarat,2020-12-31,Student,97100.0,Married,Store,Silver
CUST000009,Hardik,Saini,32.0,Male,Mysuru,Karnataka,2020-11-05,Teacher,66600.0,Married,Online,Silver
CUST000010,Imaran,Sen,45.0,Male,Chennai,Tamil Nadu,2021-01-31,Homemaker,9300.0,Married,Store,Bronze
CUST000011,Liam,Ahuja,32.0,Male,Hyderabad,Telangana,2021-01-13,Homemaker,20700.0,Married,Online,Silver
CUST000012,Nathaniel,Sami,32.0,Other,Mumbai,Maharashtra,2018-11-25,Retail Employee,28500.0,Widowed,Mobile App,Silver
CUST000013,Panini,Mall,41.0,Female,Kolkata,West Bengal,2018-10-31,Retail Employee,24800.0,Married,Mobile App,Silver
CUST000014,Garima,Kale,18.0,Female,Pune,Maharashtra,2026-07-11,Sales Executive,77200.0,Single,Mobile App,Silver
CUST000015,Om,Chaudry,18.0,Male,Pune,Maharashtra,2026-07-11,Student,7400.0,Single,Mobile App,Bronze
CUST000016,Charita,Rai,31.0,Female,Jaipur,Rajasthan,2019-12-07,Student,15400.0,Married,Online,Bronze
CUST000017,Chanakya,Parmer,25.0,Male,Mumbai,Maharashtra,2020-06-14,Government Employee,54100.0,Divorced,Online,Silver
